instance,run,seed,island,model,percentile,threshold,objective,val_samples
team4_400,2,11,1,RSF,90,111.784058,0.0857,50
team4_400,2,11,5,WEIBULLAFT,50,-13.570165,0.2109,48
team4_400,2,11,4,SSVM,50,-3.706605,0.094,48
team4_400,2,11,3,DEEPSURV,60,60.0,0.198,50
team4_400,3,21,2,GBSA,95,2.755064,0.0514,40
team4_400,3,21,6,KNN,95,-9.41,0.0317,41
team4_400,3,21,3,DEEPSURV,80,80.0,0.1911,40
team4_400,3,21,4,SSVM,55,-4.49761,0.2724,47
team4_400,3,21,1,RSF,50,95.89622,0.1775,50
team4_400,3,21,0,COX,55,1.056491,0.3431,50
team4_400,3,21,7,ELASTICNET,55,0.041587,0.081,50
team4_400,3,21,5,WEIBULLAFT,60,-9.986752,0.3708,47
team4_400,3,21,8,MTLR,95,0.986038,0.0412,50
team4_400,4,31,6,KNN,55,-17.943333,0.2647,50
team4_400,4,31,7,ELASTICNET,65,0.089475,0.1511,50
team4_400,4,31,8,MTLR,50,0.963865,0.3362,44
team4_400,4,31,5,WEIBULLAFT,50,-13.197111,0.2625,48
team4_400,4,31,4,SSVM,50,-4.51196,0.207,47
team4_400,4,31,0,COX,60,1.00817,0.1106,50
team4_400,4,31,2,GBSA,85,1.470637,0.1548,50
team4_400,4,31,1,RSF,50,92.015359,0.2084,50
team4_400,4,31,3,DEEPSURV,50,50.0,0.1882,47
team4_400,5,41,7,ELASTICNET,50,0.054153,0.4806,40
team4_400,5,41,1,RSF,85,96.916335,0.1527,40
team4_400,5,41,6,KNN,85,-12.723333,0.0996,40
team4_400,5,41,5,WEIBULLAFT,75,-10.506997,0.1532,45
team4_400,5,41,0,COX,55,1.026495,0.5077,50
team4_400,5,41,8,MTLR,60,0.892514,-0.0353,42
team4_400,5,41,4,SSVM,55,-8.861284,0.1169,48
team4_400,5,41,2,GBSA,60,0.47225,0.1024,50
team4_400,5,41,3,DEEPSURV,55,55.0,0.3453,50
team4_400,6,51,2,GBSA,85,1.783937,0.0457,45
team4_400,6,51,7,ELASTICNET,50,0.024512,0.4539,46
team4_400,6,51,4,SSVM,70,-5.550347,0.2985,47
team4_400,6,51,3,DEEPSURV,50,50.0,0.3259,40
team4_400,6,51,6,KNN,60,-17.666667,0.1933,50
team4_400,6,51,1,RSF,60,106.212554,0.0724,50
team4_400,6,51,0,COX,65,1.137066,0.203,50
team4_400,6,51,5,WEIBULLAFT,85,-10.53523,0.0536,48
team4_400,6,51,8,MTLR,55,0.917419,0.249,50
team4_400,7,61,2,GBSA,55,0.404377,0.5866,40
team4_400,7,61,4,SSVM,60,-4.199405,0.2432,46
team4_400,7,61,3,DEEPSURV,75,75.0,0.1965,41
team4_400,7,61,0,COX,50,1.063,0.2326,50
team4_400,7,61,5,WEIBULLAFT,50,-12.866488,0.2001,47
team4_400,7,61,6,KNN,50,-19.466667,0.1507,50
team4_400,7,61,7,ELASTICNET,65,0.064147,0.0147,50
team4_400,7,61,1,RSF,70,112.472516,0.1952,50
team4_400,7,61,8,MTLR,55,0.939444,0.1516,50
team4_400,8,71,1,RSF,80,82.302203,0.1111,40
team4_400,8,71,0,COX,50,1.00678,0.2094,46
team4_400,8,71,7,ELASTICNET,85,0.200018,0.1153,46
team4_400,8,71,6,KNN,70,-19.18,0.0514,50
team4_400,8,71,4,SSVM,50,-4.971572,0.2908,48
team4_400,8,71,2,GBSA,60,0.417524,0.2241,50
team4_400,8,71,5,WEIBULLAFT,50,-12.960239,0.2546,48
team4_400,8,71,3,DEEPSURV,95,95.0,0.0361,49
team4_400,8,71,8,MTLR,95,0.998289,-0.0494,50
team4_400,9,81,1,RSF,55,81.267664,0.097,40
team4_400,9,81,0,COX,95,1.070213,0.0461,47
team4_400,9,81,7,ELASTICNET,95,0.167298,0.0292,50
team4_400,9,81,4,SSVM,60,-2.938631,0.1655,48
team4_400,9,81,6,KNN,80,-10.933333,0.1598,50
team4_400,9,81,2,GBSA,65,0.690915,0.1756,50
team4_400,9,81,5,WEIBULLAFT,90,-9.257289,0.0165,47
team4_400,9,81,3,DEEPSURV,50,50.0,0.3233,50
team4_400,9,81,8,MTLR,50,0.88846,0.1553,50
d493_or2,10,91,8,MTLR,95,0.976693,-0.0174,43
d493_or2,10,91,7,ELASTICNET,60,0.086496,0.1162,50
d493_or2,10,91,0,COX,95,1.043168,0.0363,50
d493_or2,10,91,5,WEIBULLAFT,50,-12.613838,0.3279,47
d493_or2,10,91,2,GBSA,55,0.384016,0.0463,50
d493_or2,10,91,6,KNN,70,-15.693333,0.1487,50
d493_or2,10,91,1,RSF,95,111.461872,0.0148,50
d493_or2,10,91,4,SSVM,50,-0.930538,0.4346,47
d493_or2,10,91,3,DEEPSURV,50,50.0,0.2834,50
d493_or2,1,1,6,KNN,50,-20.6,0.2253,43
d493_or2,1,1,4,SSVM,50,-1.604418,0.3213,38
d493_or2,1,1,8,MTLR,50,0.971426,0.2227,40
d493_or2,1,1,0,COX,70,1.011919,0.1785,50
d493_or2,1,1,7,ELASTICNET,75,0.175832,0.0785,50
d493_or2,1,1,2,GBSA,75,1.084085,0.1272,50
d493_or2,1,1,5,WEIBULLAFT,60,-13.360484,0.2974,48
d493_or2,1,1,1,RSF,50,94.27091,0.194,50
d493_or2,1,1,3,DEEPSURV,50,50.0,0.6575,50
d493_or2,2,11,5,WEIBULLAFT,90,-11.523111,-0.0342,40
d493_or2,2,11,2,GBSA,50,0.160842,0.282,47
d493_or2,2,11,0,COX,80,1.025278,0.1888,50
d493_or2,2,11,6,KNN,55,-20.136667,0.2183,50
d493_or2,2,11,7,ELASTICNET,95,0.231164,-0.0298,50
d493_or2,2,11,1,RSF,55,102.44876,0.0953,50
d493_or2,2,11,4,SSVM,55,19.924433,0.2142,47
d493_or2,2,11,8,MTLR,55,0.991077,0.3645,50
d493_or2,2,11,3,DEEPSURV,55,55.0,-0.0457,50
d493_or2,3,21,5,WEIBULLAFT,70,-10.397089,0.2663,38
d493_or2,3,21,1,RSF,90,92.717677,-0.0068,41
d493_or2,3,21,4,SSVM,50,-2.139928,0.388,47
d493_or2,3,21,0,COX,65,1.032699,0.2488,50
d493_or2,3,21,7,ELASTICNET,50,0.019751,0.5791,50
d493_or2,3,21,6,KNN,60,-18.266667,0.127,50
d493_or2,3,21,3,DEEPSURV,90,90.0,-0.0093,47
d493_or2,3,21,2,GBSA,60,0.42666,0.2061,50
d493_or2,3,21,8,MTLR,55,0.963098,0.2128,48
d493_or2,4,31,6,KNN,50,-22.066667,0.1928,48
d493_or2,4,31,1,RSF,50,98.031285,0.364,50
d493_or2,4,31,4,SSVM,50,-2.40331,0.5097,47
d493_or2,4,31,0,COX,75,1.021188,0.2058,50
d493_or2,4,31,7,ELASTICNET,55,0.045736,0.3312,50
