instance,run,cohort_rank,relative_gain
concentricCircles4,run-1783974319_i0,0.55,0.19964840905095552
concentricCircles4,run-1783974319_i0,0.7727272727272727,0.21659750627220803
concentricCircles4,run-1783974319_i0,1.0,0.3125414598725497
concentricCircles4,run-1783974319_i0,0.3333333333333333,0.16841354041996667
concentricCircles4,run-1783974319_i0,0.125,0.07247957766259952
concentricCircles4,run-1783974319_i0,0.2,0.12386227478064132
concentricCircles4,run-1783974319_i0,0.043478260869565216,0.012827831764477049
concentricCircles4,run-1783974319_i0,0.3157894736842105,0.16044959693006183
concentricCircles4,run-1783974319_i0,0.6190476190476191,0.19184513311497442
concentricCircles4,run-1783974319_i0,0.07142857142857142,0.1723832197964334
concentricCircles4,run-1783974319_i0,0.3684210526315789,0.18481149535941632
concentricCircles4,run-1783974319_i0,0.17647058823529413,0.12727191174189398
concentricCircles4,run-1783974319_i0,0.125,0.10963508112538381
concentricCircles4,run-1783974319_i0,0.8947368421052632,0.28789819771644154
concentricCircles4,run-1783974319_i0,0.2916666666666667,0.11509722905515625
concentricCircles4,run-1783974319_i0,0.05555555555555555,0.07203979184818662
concentricCircles4,run-1783974319_i0,0.9583333333333334,0.29993057527848777
concentricCircles4,run-1783974319_i0,0.75,0.2277647180806511
concentricCircles4,run-1783974319_i0,0.38095238095238093,0.19652691622950452
concentricCircles4,run-1783974319_i0,0.782608695652174,0.29255776184560284
concentricCircles4,run-1783974319_i0,0.375,0.1474629346768108
concentricCircles4,run-1783974319_i0,0.6666666666666666,0.22051727769880583
concentricCircles4,run-1783974319_i0,0.8888888888888888,0.2890443943033355
concentricCircles4,run-1783974319_i0,0.47368421052631576,0.18149968134122263
concentricCircles4,run-1783974319_i0,0.2222222222222222,0.11421421383977172
concentricCircles4,run-1783974319_i0,0.043478260869565216,0.0
concentricCircles4,run-1783974319_i0,0.8695652173913043,0.28667708580563983
concentricCircles4,run-1783974319_i0,0.85,0.269165110408246
concentricCircles4,run-1783974319_i0,0.09090909090909091,0.10504428715720168
concentricCircles4,run-1783974319_i0,0.7142857142857143,0.28793209045135887
concentricCircles4,run-1783974319_i0,0.631578947368421,0.22895555623120553
concentricCircles4,run-1783974319_i0,0.0625,0.05872238276592727
concentricCircles4,run-1783974319_i0,0.2,0.160981122374289
concentricCircles4,run-1783974319_i0,0.11764705882352941,0.10618960972576666
concentricCircles4,run-1783974319_i0,1.0,0.5311596825838786
concentricCircles4,run-1783974319_i0,0.625,0.20988218285502017
concentricCircles4,run-1783974319_i0,0.30434782608695654,0.13740164647343184
concentricCircles4,run-1783974319_i0,0.6470588235294118,0.2050948186554512
concentricCircles4,run-1783974319_i0,0.1875,0.12744307598209567
concentricCircles4,run-1783974319_i0,0.045454545454545456,0.029956138731264657
concentricCircles4,run-1783974319_i0,0.6842105263157895,0.2774400811950761
