instance,run,target_kappa,repeat,achieved_kappa,C
bonus1000,run-1782644286_i9,0.7,3,0.6876487322666226,0.5400000738451541
bonus1000,run-1782644286_i9,0.7,4,0.6883421256469466,0.539398529574759
bonus1000,run-1782644286_i9,0.8,0,0.7946493680544585,0.49955871165961346
bonus1000,run-1782644286_i9,0.8,1,0.8110822758322047,0.4847299064108909
bonus1000,run-1782644286_i9,0.8,2,0.8049261586892574,0.4766643242843406
bonus1000,run-1782644286_i9,0.8,3,0.7939710053054567,0.48261262027812407
bonus1000,run-1782644286_i9,0.8,4,0.7957381929108372,0.4851667608401009
bonus1000,run-1782644286_i9,0.9,0,0.8985147770420333,0.43118309339239574
bonus1000,run-1782644286_i9,0.9,1,0.9014132602925926,0.4352495133833431
bonus1000,run-1782644286_i9,0.9,2,0.9003347421548348,0.42878904821871067
bonus1000,run-1782644286_i9,0.9,3,0.9018480083461451,0.440185050597467
bonus1000,run-1782644286_i9,0.9,4,0.9007199853802986,0.43243553135772517
bonus1000,run-1782644286_i9,0.95,0,0.9504054772148894,0.3901974240059622
bonus1000,run-1782644286_i9,0.95,1,0.9462077106524337,0.39377384668747833
bonus1000,run-1782644286_i9,0.95,2,0.9441135364754034,0.4040498775953298
bonus1000,run-1782644286_i9,0.95,3,0.9514628488092699,0.3975416944999059
bonus1000,run-1782644286_i9,0.95,4,0.9482624942094474,0.4005094042441747
bonus1000,run-1782644748_i9,0.0,0,0.11254156079413384,0.6537739994990998
bonus1000,run-1782644748_i9,0.0,1,0.05011142919400871,0.6767253422743783
bonus1000,run-1782644748_i9,0.0,2,0.018980746149319307,0.6706014069438264
bonus1000,run-1782644748_i9,0.0,3,0.0367810561737719,0.6743753398104153
bonus1000,run-1782644748_i9,0.0,4,0.02592203492282406,0.6682651628669884
bonus1000,run-1782644748_i9,0.1,0,0.03224127037039634,0.6796855780330413
bonus1000,run-1782644748_i9,0.1,1,0.09813125583332502,0.6697847725259263
bonus1000,run-1782644748_i9,0.1,2,0.06734170780222247,0.6649685686310681
bonus1000,run-1782644748_i9,0.1,3,0.0636984793892906,0.6692324417324063
bonus1000,run-1782644748_i9,0.1,4,0.05953818537250488,0.6706518705624696
bonus1000,run-1782644748_i9,0.2,0,0.2444446466642105,0.6290962388596014
bonus1000,run-1782644748_i9,0.2,1,0.1955227922893074,0.6353105822057058
bonus1000,run-1782644748_i9,0.2,2,0.19256878445973102,0.6414241164241165
bonus1000,run-1782644748_i9,0.2,3,0.2366332941326215,0.6381831833249908
bonus1000,run-1782644748_i9,0.2,4,0.12312734366827023,0.6557536957942288
bonus1000,run-1782644748_i9,0.3,0,0.3306907088547547,0.6069491173023853
bonus1000,run-1782644748_i9,0.3,1,0.2750196069993685,0.6171896039346679
bonus1000,run-1782644748_i9,0.3,2,0.3320097056042446,0.6126125062569062
bonus1000,run-1782644748_i9,0.3,3,0.303164125165974,0.622814420086475
bonus1000,run-1782644748_i9,0.3,4,0.3350626945024092,0.6047906880027222
bonus1000,run-1782644748_i9,0.4,0,0.35326332652966297,0.603117777998327
bonus1000,run-1782644748_i9,0.4,1,0.41658403031907526,0.5840671723053906
bonus1000,run-1782644748_i9,0.4,2,0.3976842023732052,0.5818341024730801
bonus1000,run-1782644748_i9,0.4,3,0.4039769012837503,0.5913928167888768
bonus1000,run-1782644748_i9,0.4,4,0.3939632950592422,0.592902249237246
bonus1000,run-1782644748_i9,0.5,0,0.49411561817341526,0.5644590590855051
bonus1000,run-1782644748_i9,0.5,1,0.5227857185204305,0.5571481933293616
bonus1000,run-1782644748_i9,0.5,2,0.49380711215968154,0.5583912447406987
bonus1000,run-1782644748_i9,0.5,3,0.48699867768998406,0.5757344795917401
bonus1000,run-1782644748_i9,0.5,4,0.49120170475588726,0.5827766283325363
bonus1000,run-1782644748_i9,0.6,0,0.5931922140044595,0.5358504724060144
bonus1000,run-1782644748_i9,0.6,1,0.6188145169181127,0.52375553293725
bonus1000,run-1782644748_i9,0.6,2,0.6079433536461806,0.5358659845388558
bonus1000,run-1782644748_i9,0.6,3,0.5682900873919713,0.5570354158000227
bonus1000,run-1782644748_i9,0.6,4,0.6032158384688963,0.5379646080591287
bonus1000,run-1782644748_i9,0.7,0,0.7141505550973467,0.49315472817257927
bonus1000,run-1782644748_i9,0.7,1,0.6726509079171905,0.5220428863525823
bonus1000,run-1782644748_i9,0.7,2,0.7045931113007666,0.50532836145787
bonus1000,run-1782644748_i9,0.7,3,0.7133192128019417,0.4988092025207975
bonus1000,run-1782644748_i9,0.7,4,0.6965507600378039,0.5166568305752933
bonus1000,run-1782644748_i9,0.8,0,0.803165255500287,0.45410177022523696
bonus1000,run-1782644748_i9,0.8,1,0.7880064357052389,0.47951106653166664
bonus1000,run-1782644748_i9,0.8,2,0.7907499103299769,0.4683953812462672
bonus1000,run-1782644748_i9,0.8,3,0.8310368570750895,0.45328779427058713
bonus1000,run-1782644748_i9,0.8,4,0.8058154124725848,0.4607795832446368
bonus1000,run-1782644748_i9,0.9,0,0.8982302219884329,0.40174436517905815
bonus1000,run-1782644748_i9,0.9,1,0.9080692705720431,0.4254109051728212
bonus1000,run-1782644748_i9,0.9,2,0.8996823519220707,0.41843958216097865
bonus1000,run-1782644748_i9,0.9,3,0.9026305676214955,0.4204196604685704
bonus1000,run-1782644748_i9,0.9,4,0.8898401283930439,0.41230286146000567
bonus1000,run-1782644748_i9,0.95,0,0.9480123364048303,0.37274021251341805
bonus1000,run-1782644748_i9,0.95,1,0.9513014511421694,0.38433968249459066
bonus1000,run-1782644748_i9,0.95,2,0.953498749345959,0.37991180351836557
bonus1000,run-1782644748_i9,0.95,3,0.9518803638246406,0.3779697624190065
bonus1000,run-1782644748_i9,0.95,4,0.9487385622641535,0.37903023712144496
bonus1000,run-1782647995_i9,0.0,0,0.021655016004338997,0.7284143544542879
bonus1000,run-1782647995_i9,0.0,1,0.017898186175203102,0.7274116669909161
bonus1000,run-1782647995_i9,0.0,2,0.00382795796036743,0.7406207156759099
bonus1000,run-1782647995_i9,0.0,3,0.09121870468810009,0.7188812103100486
bonus1000,run-1782647995_i9,0.0,4,0.011251235967863737,0.7368357040479906
bonus1000,run-1782647995_i9,0.1,0,0.05987165662035636,0.7348779658102405
bonus1000,run-1782647995_i9,0.1,1,0.14183956451585117,0.7094079043477284
bonus1000,run-1782647995_i9,0.1,2,0.1649945486158881,0.7144512774661803
bonus1000,run-1782647995_i9,0.1,3,0.06160986255835488,0.720847460802128
bonus1000,run-1782647995_i9,0.1,4,0.12394393744801514,0.718496874099737
bonus1000,run-1782647995_i9,0.2,0,0.24509000281162296,0.6959599104286148
bonus1000,run-1782647995_i9,0.2,1,0.19895920223438882,0.7054300133279423
bonus1000,run-1782647995_i9,0.2,2,0.17489842960856722,0.710644579485414
